source,beat,phy_rate,phy_txelecidle,phy_txdata_valid,phy_txstart_block,phy_txsync_header,phy_txdata_31_0,phy_rxdata_valid,phy_rxstart_block,phy_rxsync_header,phy_rxdata_31_0,evidence
official_golden_tx,0,010,0,1,1,01,ff00ff00,,,,,fresh_run_20260831_official_rp_pipe_trace_csv_time_123967504ps
official_golden_tx,1,010,0,1,0,01,ff00ff00,,,,,fresh_run_20260831_official_rp_pipe_trace_csv_time_123971504ps
official_golden_tx,2,010,0,1,0,01,ff00ff00,,,,,fresh_run_20260831_official_rp_pipe_trace_csv_time_123975504ps
official_golden_tx,3,010,0,1,0,01,ff00ff00,,,,,fresh_run_20260831_official_rp_pipe_trace_csv_time_123979504ps
official_golden_tx,4,010,0,1,1,01,beefcafe,,,,,fresh_run_20260831_official_rp_pipe_trace_csv_time_123983504ps
official_golden_rx_ep,0,010,,,,,,1,1,01,ff00ff00,fresh_run_20260831_official_ep_pipe_trace_csv_rx_sample0_time_124595529ps
official_golden_rx_ep,1,010,,,,,,1,0,11,ff00ff00,fresh_run_20260831_official_ep_pipe_trace_csv_rx_sample1_time_124599529ps
official_golden_rx_ep,2,010,,,,,,1,0,11,ff00ff00,fresh_run_20260831_official_ep_pipe_trace_csv_rx_sample2_time_124603529ps
official_golden_rx_ep,3,010,,,,,,1,0,11,ff00ff00,fresh_run_20260831_official_ep_pipe_trace_csv_rx_sample3_time_124607529ps
official_golden_rx_ep,4,010,,,,,,1,1,01,beefcafe,fresh_run_20260831_official_ep_pipe_trace_csv_rx_sample4_time_124611529ps
official_golden_rx_rp,0,010,,,,,,0,1,01,ff00ff00,fresh_run_20260831_official_rp_pipe_trace_csv_rx_data_present_rxvalid_still_0_time_124567529ps
k15_current_tx,0,010,0,1,1,01,ff00ff00,,,,,k15_ab_header_A_log_EP_TX_PIPE_n0_time_379371529ps
k15_current_tx,1,010,0,1,0,00,ff00ff00,,,,,k15_ab_header_A_log_EP_TX_PIPE_n1_time_379375529ps
k15_current_tx,2,010,0,1,0,00,ff00ff00,,,,,k15_ab_header_A_log_EP_TX_PIPE_n2_time_379379529ps
k15_current_tx,3,010,0,1,0,00,ff00ff00,,,,,k15_ab_header_A_log_EP_TX_PIPE_n3_time_379383529ps
k15_current_rx_rp,0,010,,,,,,0,0,00,00000000,k15_ab_header_A_log_RP_RX_ENVELOPE_n0_to_n11_time_379365529_379409529ps_all_zero
k15_current_rx_rp,later,010,,,,,,0,0,00,00000000,k15_ab_header_A_log_rxvalid_seen_0_T3_T4_never_fire
