Sample in Buffer,Sample in Window,TRIGGER,phy_rate[2:0],phy_phystatus_debug,debug_state[7:0],as_mac_in_detect,as_cdr_hold_req,u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_common.gen_common_container[1].gen_enabled_common.gthe3_common_wrapper_inst/common_inst/qpll1reset_in[0:0],u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_common.gen_common_container[1].gen_enabled_common.gthe3_common_wrapper_inst/common_inst/pcsrsvdin_in[0:0],u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_channel_container[1].gen_enabled_channel.gthe3_channel_wrapper_inst/channel_inst/pcierateqpllreset_out[0:0],u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_channel_container[1].gen_enabled_channel.gthe3_channel_wrapper_inst/channel_inst/gthe3_channel_gen.gen_gthe3_channel_inst[0].GTHE3_CHANNEL_PRIM_INST_n_277,u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_channel_container[1].gen_enabled_channel.gthe3_channel_wrapper_inst/channel_inst/pcierategen3_out[0:0],u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_channel_container[1].gen_enabled_channel.gthe3_channel_wrapper_inst/channel_inst/gthe3_channel_gen.gen_gthe3_channel_inst[0].GTHE3_CHANNEL_PRIM_INST_n_12,u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_common.gen_common_container[1].gen_enabled_common.gthe3_common_wrapper_inst/common_inst/gthe3_common_gen.GTHE3_COMMON_PRIM_INST_n_10,u_phy_wrapper/u_pcie_phy/inst/Uscale_gt.us_gt_phy_wrapper/gt_wizard.gtwizard_top_i/pcie_phy_0_gt_i/inst/gen_gtwizard_gthe3_top.pcie_phy_0_gt_gtwizard_gthe3_inst/gen_gtwizard_gthe3.gen_common.gen_common_container[1].gen_enabled_common.gthe3_common_wrapper_inst/common_inst/gthe3_common_gen.GTHE3_COMMON_PRIM_INST_n_6,seq_state[3:0],gen3_request,tx_elec_idle,phy_ready_en,gen1_en,gen2_en,gen3_en,gen4_en,phy_phystatus_rst_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
1,1,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
2,2,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
3,3,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
4,4,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
5,5,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
6,6,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
7,7,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
8,8,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
9,9,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
10,10,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
11,11,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
12,12,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
13,13,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
14,14,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
15,15,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
16,16,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
17,17,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
18,18,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
19,19,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
20,20,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
21,21,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
22,22,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
23,23,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
24,24,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
25,25,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
26,26,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
27,27,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
28,28,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
29,29,0,0,0,02,0,0,0,1,0,0,0,0,1,1,"S_DONE",0,1,1,0,0,0,0,0
